"STATISTIC Label","Year","Sex","Nationality","UNIT","VALUE"
"Estimated Population","2008","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","23.7"
"Estimated Population","2008","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","133.9"
"Estimated Population","2008","Male","Other nationalities(17)","Thousand","79.8"
"Estimated Population","2008","Male","All nationalities","Thousand","2238.6"
"Estimated Population","2008","Female","Irish","Thousand","1967.2"
"Estimated Population","2008","Female","UK (1)","Thousand","59"
"Estimated Population","2008","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.1"
"Estimated Population","2008","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","113.8"
"Estimated Population","2008","Female","Other nationalities(17)","Thousand","79.5"
"Estimated Population","2008","Female","All nationalities","Thousand","2246.5"
"Estimated Population","2009","Both sexes","Irish","Thousand","3958"
"Estimated Population","2009","Both sexes","UK (1)","Thousand","117.1"
"Estimated Population","2009","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","55.3"
"Estimated Population","2009","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","240.8"
"Estimated Population","2009","Both sexes","Other nationalities(17)","Thousand","162.2"
"Estimated Population","2009","Both sexes","All nationalities","Thousand","4533.4"
"Estimated Population","2009","Male","Irish","Thousand","1966.4"
"Estimated Population","2009","Male","UK (1)","Thousand","58.3"
"Estimated Population","2009","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.5"
"Estimated Population","2009","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","124.8"
"Estimated Population","2009","Male","Other nationalities(17)","Thousand","82.3"
"Estimated Population","2009","Male","All nationalities","Thousand","2257.3"
"Estimated Population","2009","Female","Irish","Thousand","1991.6"
"Estimated Population","2009","Female","UK (1)","Thousand","58.8"
"Estimated Population","2009","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","29.7"
"Estimated Population","2009","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","116"
"Estimated Population","2009","Female","Other nationalities(17)","Thousand","79.9"
"Estimated Population","2009","Female","All nationalities","Thousand","2276.1"
"Estimated Population","2010","Both sexes","Irish","Thousand","3994.7"
"Estimated Population","2010","Both sexes","UK (1)","Thousand","115.9"
"Estimated Population","2010","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","52.4"
"Estimated Population","2010","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","233"
"Estimated Population","2010","Both sexes","Other nationalities(17)","Thousand","158.7"
"Estimated Population","2010","Both sexes","All nationalities","Thousand","4554.8"
"Estimated Population","2010","Male","Irish","Thousand","1983.3"
"Estimated Population","2010","Male","UK (1)","Thousand","57.7"
"Estimated Population","2010","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","24"
"Estimated Population","2010","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","117.6"
"Estimated Population","2010","Male","Other nationalities(17)","Thousand","79.6"
"Estimated Population","2010","Male","All nationalities","Thousand","2262.2"
"Estimated Population","2010","Female","Irish","Thousand","2011.4"
"Estimated Population","2010","Female","UK (1)","Thousand","58.2"
"Estimated Population","2010","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","28.4"
"Estimated Population","2010","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","115.5"
"Estimated Population","2010","Female","Other nationalities(17)","Thousand","79.1"
"Estimated Population","2010","Female","All nationalities","Thousand","2292.6"
"Estimated Population","2011","Both sexes","Irish","Thousand","4017.9"
"Estimated Population","2011","Both sexes","UK (1)","Thousand","114.9"
"Estimated Population","2011","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","49.4"
"Estimated Population","2011","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","231.5"
"Estimated Population","2011","Both sexes","Other nationalities(17)","Thousand","161.2"
"Estimated Population","2011","Both sexes","All nationalities","Thousand","4574.9"
"Estimated Population","2011","Male","Irish","Thousand","1991.9"
"Estimated Population","2011","Male","UK (1)","Thousand","57.8"
"Estimated Population","2011","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","23.9"
"Estimated Population","2011","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","116.5"
"Estimated Population","2011","Male","Other nationalities(17)","Thousand","80.4"
"Estimated Population","2011","Male","All nationalities","Thousand","2270.5"
"Estimated Population","2011","Female","Irish","Thousand","2026"
"Estimated Population","2011","Female","UK (1)","Thousand","57.1"
"Estimated Population","2011","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.5"
"Estimated Population","2011","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","114.9"
"Estimated Population","2011","Female","Other nationalities(17)","Thousand","80.8"
"Estimated Population","2011","Female","All nationalities","Thousand","2304.4"
"Estimated Population","2012","Both sexes","Irish","Thousand","4046.6"
"Estimated Population","2012","Both sexes","UK (1)","Thousand","111.8"
"Estimated Population","2012","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","51"
"Estimated Population","2012","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","232.7"
"Estimated Population","2012","Both sexes","Other nationalities(17)","Thousand","151.6"
"Estimated Population","2012","Both sexes","All nationalities","Thousand","4593.7"
"Estimated Population","2012","Male","Irish","Thousand","2003.2"
"Estimated Population","2012","Male","UK (1)","Thousand","56.1"
"Estimated Population","2012","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","24.3"
"Estimated Population","2012","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","116.8"
"Estimated Population","2012","Male","Other nationalities(17)","Thousand","74.7"
"Estimated Population","2012","Male","All nationalities","Thousand","2275"
"Estimated Population","2012","Female","Irish","Thousand","2043.4"
"Estimated Population","2012","Female","UK (1)","Thousand","55.7"
"Estimated Population","2012","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","26.7"
"Estimated Population","2012","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","115.9"
"Estimated Population","2012","Female","Other nationalities(17)","Thousand","76.9"
"Estimated Population","2012","Female","All nationalities","Thousand","2318.7"
"Estimated Population","2013","Both sexes","Irish","Thousand","4080.7"
"Estimated Population","2013","Both sexes","UK (1)","Thousand","109.2"
"Estimated Population","2013","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","53.2"
"Estimated Population","2013","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","234.5"
"Estimated Population","2013","Both sexes","Other nationalities(17)","Thousand","137.1"
"Estimated Population","2013","Both sexes","All nationalities","Thousand","4614.7"
"Estimated Population","2013","Male","Irish","Thousand","2019.4"
"Estimated Population","2013","Male","UK (1)","Thousand","55"
"Estimated Population","2013","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.8"
"Estimated Population","2013","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","117.5"
"Estimated Population","2013","Male","Other nationalities(17)","Thousand","68.4"
"Estimated Population","2013","Male","All nationalities","Thousand","2286.1"
"Estimated Population","2013","Female","Irish","Thousand","2061.3"
"Estimated Population","2013","Female","UK (1)","Thousand","54.1"
"Estimated Population","2013","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.4"
"Estimated Population","2013","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","117"
"Estimated Population","2013","Female","Other nationalities(17)","Thousand","68.7"
"Estimated Population","2013","Female","All nationalities","Thousand","2328.5"
"Estimated Population","2014","Both sexes","Irish","Thousand","4117.6"
"Estimated Population","2014","Both sexes","UK (1)","Thousand","107.1"
"Estimated Population","2014","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","56.9"
"Estimated Population","2014","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","242.8"
"Estimated Population","2014","Both sexes","Other nationalities(17)","Thousand","121"
"Estimated Population","2014","Both sexes","All nationalities","Thousand","4645.4"
"Estimated Population","2014","Male","Irish","Thousand","2036"
"Estimated Population","2014","Male","UK (1)","Thousand","54.1"
"Estimated Population","2014","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.6"
"Estimated Population","2014","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","121.5"
"Estimated Population","2014","Male","Other nationalities(17)","Thousand","59.8"
"Estimated Population","2014","Male","All nationalities","Thousand","2299"
"Estimated Population","2014","Female","Irish","Thousand","2081.6"
"Estimated Population","2014","Female","UK (1)","Thousand","53"
"Estimated Population","2014","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","29.3"
"Estimated Population","2014","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","121.3"
"Estimated Population","2014","Female","Other nationalities(17)","Thousand","61.2"
"Estimated Population","2014","Female","All nationalities","Thousand","2346.4"
"Estimated Population","2015","Both sexes","Irish","Thousand","4152.9"
"Estimated Population","2015","Both sexes","UK (1)","Thousand","105.7"
"Estimated Population","2015","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","60.3"
"Estimated Population","2015","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","247.8"
"Estimated Population","2015","Both sexes","Other nationalities(17)","Thousand","121.1"
"Estimated Population","2015","Both sexes","All nationalities","Thousand","4687.8"
"Estimated Population","2015","Male","Irish","Thousand","2052.1"
"Estimated Population","2015","Male","UK (1)","Thousand","53.6"
"Estimated Population","2015","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","28.4"
"Estimated Population","2015","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","123.5"
"Estimated Population","2015","Male","Other nationalities(17)","Thousand","60.1"
"Estimated Population","2015","Male","All nationalities","Thousand","2317.7"
"Estimated Population","2015","Female","Irish","Thousand","2100.8"
"Estimated Population","2015","Female","UK (1)","Thousand","52.2"
"Estimated Population","2015","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","31.9"
"Estimated Population","2015","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","124.2"
"Estimated Population","2015","Female","Other nationalities(17)","Thousand","61"
"Estimated Population","2015","Female","All nationalities","Thousand","2370.1"
"Estimated Population","2016","Both sexes","Irish","Thousand","4189.1"
"Estimated Population","2016","Both sexes","UK (1)","Thousand","105.7"
"Estimated Population","2016","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","64.9"
"Estimated Population","2016","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","249.4"
"Estimated Population","2016","Both sexes","Other nationalities(17)","Thousand","130.4"
"Estimated Population","2016","Both sexes","All nationalities","Thousand","4739.6"
"Estimated Population","2016","Male","Irish","Thousand","2071.4"
"Estimated Population","2016","Male","UK (1)","Thousand","54.2"
"Estimated Population","2016","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","31.3"
"Estimated Population","2016","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","123.5"
"Estimated Population","2016","Male","Other nationalities(17)","Thousand","66.1"
"Estimated Population","2016","Male","All nationalities","Thousand","2346.5"
"Estimated Population","2016","Female","Irish","Thousand","2117.7"
"Estimated Population","2016","Female","UK (1)","Thousand","51.6"
"Estimated Population","2016","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","33.5"
"Estimated Population","2016","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","125.9"
"Estimated Population","2016","Female","Other nationalities(17)","Thousand","64.4"
"Estimated Population","2016","Female","All nationalities","Thousand","2393.1"
"Estimated Population","2017","Both sexes","Irish","Thousand","4225.9"
"Estimated Population","2017","Both sexes","UK (1)","Thousand","107.7"
"Estimated Population","2017","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","69"
"Estimated Population","2017","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","250.3"
"Estimated Population","2017","Both sexes","Other nationalities(17)","Thousand","139.6"
"Estimated Population","2017","Both sexes","All nationalities","Thousand","4792.5"
"Estimated Population","2017","Male","Irish","Thousand","2089.7"
"Estimated Population","2017","Male","UK (1)","Thousand","55.3"
"Estimated Population","2017","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","33"
"Estimated Population","2017","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","124"
"Estimated Population","2017","Male","Other nationalities(17)","Thousand","70"
"Estimated Population","2017","Male","All nationalities","Thousand","2372.1"
"Estimated Population","2017","Female","Irish","Thousand","2136.1"
"Estimated Population","2017","Female","UK (1)","Thousand","52.4"
"Estimated Population","2017","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","35.9"
"Estimated Population","2017","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","126.3"
"Estimated Population","2017","Female","Other nationalities(17)","Thousand","69.6"
"Estimated Population","2017","Female","All nationalities","Thousand","2420.4"
"Estimated Population","2018","Both sexes","Irish","Thousand","4263.5"
"Estimated Population","2018","Both sexes","UK (1)","Thousand","110.8"
"Estimated Population","2018","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","73.7"
"Estimated Population","2018","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","255"
"Estimated Population","2018","Both sexes","Other nationalities(17)","Thousand","154.1"
"Estimated Population","2018","Both sexes","All nationalities","Thousand","4857"
"Estimated Population","2018","Male","Irish","Thousand","2109"
"Estimated Population","2018","Male","UK (1)","Thousand","57.3"
"Estimated Population","2018","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","35.3"
"Estimated Population","2018","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","125.6"
"Estimated Population","2018","Male","Other nationalities(17)","Thousand","78.6"
"Estimated Population","2018","Male","All nationalities","Thousand","2405.8"
"Estimated Population","2018","Female","Irish","Thousand","2154.5"
"Estimated Population","2018","Female","UK (1)","Thousand","53.5"
"Estimated Population","2018","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","38.4"
"Estimated Population","2018","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","129.4"
"Estimated Population","2018","Female","Other nationalities(17)","Thousand","75.5"
"Estimated Population","2018","Female","All nationalities","Thousand","2451.3"
"Estimated Population","2019","Both sexes","Irish","Thousand","4298.8"
"Estimated Population","2019","Both sexes","UK (1)","Thousand","114.5"
"Estimated Population","2019","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","81.8"
"Estimated Population","2019","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","257.7"
"Estimated Population","2019","Both sexes","Other nationalities(17)","Thousand","168.7"
"Estimated Population","2019","Both sexes","All nationalities","Thousand","4921.5"
"Estimated Population","2019","Male","Irish","Thousand","2126.2"
"Estimated Population","2019","Male","UK (1)","Thousand","59.7"
"Estimated Population","2019","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","39.3"
"Estimated Population","2019","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","126.8"
"Estimated Population","2019","Male","Other nationalities(17)","Thousand","86"
"Estimated Population","2019","Male","All nationalities","Thousand","2438"
"Estimated Population","2019","Female","Irish","Thousand","2172.7"
"Estimated Population","2019","Female","UK (1)","Thousand","54.8"
"Estimated Population","2019","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","42.5"
"Estimated Population","2019","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","130.9"
"Estimated Population","2019","Female","Other nationalities(17)","Thousand","82.6"
"Estimated Population","2019","Female","All nationalities","Thousand","2483.5"
"Estimated Population","2020","Both sexes","Irish","Thousand","4333"
"Estimated Population","2020","Both sexes","UK (1)","Thousand","116.9"
"Estimated Population","2020","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","85.8"
"Estimated Population","2020","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","258.2"
"Estimated Population","2020","Both sexes","Other nationalities(17)","Thousand","183.5"
"Estimated Population","2020","Both sexes","All nationalities","Thousand","4977.4"
"Estimated Population","2020","Male","Irish","Thousand","2142.9"
"Estimated Population","2020","Male","UK (1)","Thousand","60.6"
"Estimated Population","2020","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","41.4"
"Estimated Population","2020","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","126.9"
"Estimated Population","2020","Male","Other nationalities(17)","Thousand","93.8"
"Estimated Population","2020","Male","All nationalities","Thousand","2465.6"
"Estimated Population","2020","Female","Irish","Thousand","2190.2"
"Estimated Population","2020","Female","UK (1)","Thousand","56.3"
"Estimated Population","2020","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","44.4"
"Estimated Population","2020","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","131.3"
"Estimated Population","2020","Female","Other nationalities(17)","Thousand","89.7"
"Estimated Population","2020","Female","All nationalities","Thousand","2511.9"
"Estimated Population","2021","Both sexes","Irish","Thousand","4365.9"
"Estimated Population","2021","Both sexes","UK (1)","Thousand","118.2"
"Estimated Population","2021","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","85.9"
"Estimated Population","2021","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","261.2"
"Estimated Population","2021","Both sexes","Other nationalities(17)","Thousand","180.2"
"Estimated Population","2021","Both sexes","All nationalities","Thousand","5011.5"
"Estimated Population","2021","Male","Irish","Thousand","2159.4"
"Estimated Population","2021","Male","UK (1)","Thousand","60.9"
"Estimated Population","2021","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","42"
"Estimated Population","2021","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","127.7"
"Estimated Population","2021","Male","Other nationalities(17)","Thousand","91.1"
"Estimated Population","2021","Male","All nationalities","Thousand","2481.1"
"Estimated Population","2021","Female","Irish","Thousand","2206.5"
"Estimated Population","2021","Female","UK (1)","Thousand","57.3"
"Estimated Population","2021","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","43.9"
"Estimated Population","2021","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","133.5"
"Estimated Population","2021","Female","Other nationalities(17)","Thousand","89.1"
"Estimated Population","2021","Female","All nationalities","Thousand","2530.3"
"Estimated Population","2022","Both sexes","Irish","Thousand","4396.5"
"Estimated Population","2022","Both sexes","UK (1)","Thousand","118.6"
"Estimated Population","2022","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","94.1"
"Estimated Population","2022","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","267.6"
"Estimated Population","2022","Both sexes","Other nationalities(17)","Thousand","223.4"
"Estimated Population","2022","Both sexes","All nationalities","Thousand","5100.2"
"Estimated Population","2022","Male","Irish","Thousand","2172"
"Estimated Population","2022","Male","UK (1)","Thousand","60.1"
"Estimated Population","2022","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","47"
"Estimated Population","2022","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","131.5"
"Estimated Population","2022","Male","Other nationalities(17)","Thousand","106.9"
"Estimated Population","2022","Male","All nationalities","Thousand","2517.5"
"Estimated Population","2022","Female","Irish","Thousand","2224.5"
"Estimated Population","2022","Female","UK (1)","Thousand","58.5"
"Estimated Population","2022","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","47.1"
"Estimated Population","2022","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","136.1"
"Estimated Population","2022","Female","Other nationalities(17)","Thousand","116.5"
"Estimated Population","2022","Female","All nationalities","Thousand","2582.7"
