"STATISTIC Label","Year","Sex","Nationality","UNIT","VALUE"
"Estimated Emigration (Persons in April)","2009","Both sexes","Other nationalities(17)","Thousand","11"
"Estimated Emigration (Persons in April)","2009","Both sexes","All nationalities","Thousand","72"
"Estimated Emigration (Persons in April)","2009","Male","Irish","Thousand","12.3"
"Estimated Emigration (Persons in April)","2009","Male","UK (1)","Thousand","2.4"
"Estimated Emigration (Persons in April)","2009","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","1.9"
"Estimated Emigration (Persons in April)","2009","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","21.1"
"Estimated Emigration (Persons in April)","2009","Male","Other nationalities(17)","Thousand","4.3"
"Estimated Emigration (Persons in April)","2009","Male","All nationalities","Thousand","41.9"
"Estimated Emigration (Persons in April)","2009","Female","Irish","Thousand","6.9"
"Estimated Emigration (Persons in April)","2009","Female","UK (1)","Thousand","1.5"
"Estimated Emigration (Persons in April)","2009","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.5"
"Estimated Emigration (Persons in April)","2009","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","9.5"
"Estimated Emigration (Persons in April)","2009","Female","Other nationalities(17)","Thousand","6.7"
"Estimated Emigration (Persons in April)","2009","Female","All nationalities","Thousand","30.1"
"Estimated Emigration (Persons in April)","2010","Both sexes","Irish","Thousand","28.9"
"Estimated Emigration (Persons in April)","2010","Both sexes","UK (1)","Thousand","3"
"Estimated Emigration (Persons in April)","2010","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","9"
"Estimated Emigration (Persons in April)","2010","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","19"
"Estimated Emigration (Persons in April)","2010","Both sexes","Other nationalities(17)","Thousand","9.3"
"Estimated Emigration (Persons in April)","2010","Both sexes","All nationalities","Thousand","69.2"
"Estimated Emigration (Persons in April)","2010","Male","Irish","Thousand","16.7"
"Estimated Emigration (Persons in April)","2010","Male","UK (1)","Thousand","1.7"
"Estimated Emigration (Persons in April)","2010","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4"
"Estimated Emigration (Persons in April)","2010","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","12.8"
"Estimated Emigration (Persons in April)","2010","Male","Other nationalities(17)","Thousand","5.4"
"Estimated Emigration (Persons in April)","2010","Male","All nationalities","Thousand","40.6"
"Estimated Emigration (Persons in April)","2010","Female","Irish","Thousand","12.2"
"Estimated Emigration (Persons in April)","2010","Female","UK (1)","Thousand","1.4"
"Estimated Emigration (Persons in April)","2010","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5"
"Estimated Emigration (Persons in April)","2010","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.2"
"Estimated Emigration (Persons in April)","2010","Female","Other nationalities(17)","Thousand","3.9"
"Estimated Emigration (Persons in April)","2010","Female","All nationalities","Thousand","28.7"
"Estimated Emigration (Persons in April)","2011","Both sexes","Irish","Thousand","42"
"Estimated Emigration (Persons in April)","2011","Both sexes","UK (1)","Thousand","4.6"
"Estimated Emigration (Persons in April)","2011","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","10.2"
"Estimated Emigration (Persons in April)","2011","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","13.9"
"Estimated Emigration (Persons in April)","2011","Both sexes","Other nationalities(17)","Thousand","9.9"
"Estimated Emigration (Persons in April)","2011","Both sexes","All nationalities","Thousand","80.6"
"Estimated Emigration (Persons in April)","2011","Male","Irish","Thousand","24.5"
"Estimated Emigration (Persons in April)","2011","Male","UK (1)","Thousand","1.8"
"Estimated Emigration (Persons in April)","2011","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.7"
"Estimated Emigration (Persons in April)","2011","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.8"
"Estimated Emigration (Persons in April)","2011","Male","Other nationalities(17)","Thousand","5.1"
"Estimated Emigration (Persons in April)","2011","Male","All nationalities","Thousand","41.9"
"Estimated Emigration (Persons in April)","2011","Female","Irish","Thousand","17.5"
"Estimated Emigration (Persons in April)","2011","Female","UK (1)","Thousand","2.8"
"Estimated Emigration (Persons in April)","2011","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.6"
"Estimated Emigration (Persons in April)","2011","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.1"
"Estimated Emigration (Persons in April)","2011","Female","Other nationalities(17)","Thousand","4.8"
"Estimated Emigration (Persons in April)","2011","Female","All nationalities","Thousand","38.8"
"Estimated Emigration (Persons in April)","2012","Both sexes","Irish","Thousand","49.7"
"Estimated Emigration (Persons in April)","2012","Both sexes","UK (1)","Thousand","6.7"
"Estimated Emigration (Persons in April)","2012","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.9"
"Estimated Emigration (Persons in April)","2012","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","9"
"Estimated Emigration (Persons in April)","2012","Both sexes","Other nationalities(17)","Thousand","10.7"
"Estimated Emigration (Persons in April)","2012","Both sexes","All nationalities","Thousand","83"
"Estimated Emigration (Persons in April)","2012","Male","Irish","Thousand","27.6"
"Estimated Emigration (Persons in April)","2012","Male","UK (1)","Thousand","3.6"
"Estimated Emigration (Persons in April)","2012","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.6"
"Estimated Emigration (Persons in April)","2012","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.4"
"Estimated Emigration (Persons in April)","2012","Male","Other nationalities(17)","Thousand","6.8"
"Estimated Emigration (Persons in April)","2012","Male","All nationalities","Thousand","45.9"
"Estimated Emigration (Persons in April)","2012","Female","Irish","Thousand","22.1"
"Estimated Emigration (Persons in April)","2012","Female","UK (1)","Thousand","3.2"
"Estimated Emigration (Persons in April)","2012","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.3"
"Estimated Emigration (Persons in April)","2012","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.6"
"Estimated Emigration (Persons in April)","2012","Female","Other nationalities(17)","Thousand","3.9"
"Estimated Emigration (Persons in April)","2012","Female","All nationalities","Thousand","37.1"
"Estimated Emigration (Persons in April)","2013","Both sexes","Irish","Thousand","48.3"
"Estimated Emigration (Persons in April)","2013","Both sexes","UK (1)","Thousand","6.7"
"Estimated Emigration (Persons in April)","2013","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.2"
"Estimated Emigration (Persons in April)","2013","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","8.2"
"Estimated Emigration (Persons in April)","2013","Both sexes","Other nationalities(17)","Thousand","10.9"
"Estimated Emigration (Persons in April)","2013","Both sexes","All nationalities","Thousand","81.3"
"Estimated Emigration (Persons in April)","2013","Male","Irish","Thousand","25.1"
"Estimated Emigration (Persons in April)","2013","Male","UK (1)","Thousand","3.2"
"Estimated Emigration (Persons in April)","2013","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.3"
"Estimated Emigration (Persons in April)","2013","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4"
"Estimated Emigration (Persons in April)","2013","Male","Other nationalities(17)","Thousand","5.9"
"Estimated Emigration (Persons in April)","2013","Male","All nationalities","Thousand","41.6"
"Estimated Emigration (Persons in April)","2013","Female","Irish","Thousand","23.2"
"Estimated Emigration (Persons in April)","2013","Female","UK (1)","Thousand","3.4"
"Estimated Emigration (Persons in April)","2013","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.9"
"Estimated Emigration (Persons in April)","2013","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.2"
"Estimated Emigration (Persons in April)","2013","Female","Other nationalities(17)","Thousand","5"
"Estimated Emigration (Persons in April)","2013","Female","All nationalities","Thousand","39.7"
"Estimated Emigration (Persons in April)","2014","Both sexes","Irish","Thousand","45"
"Estimated Emigration (Persons in April)","2014","Both sexes","UK (1)","Thousand","5.8"
"Estimated Emigration (Persons in April)","2014","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.3"
"Estimated Emigration (Persons in April)","2014","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.6"
"Estimated Emigration (Persons in April)","2014","Both sexes","Other nationalities(17)","Thousand","10.2"
"Estimated Emigration (Persons in April)","2014","Both sexes","All nationalities","Thousand","75"
"Estimated Emigration (Persons in April)","2014","Male","Irish","Thousand","23.4"
"Estimated Emigration (Persons in April)","2014","Male","UK (1)","Thousand","2.7"
"Estimated Emigration (Persons in April)","2014","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.9"
"Estimated Emigration (Persons in April)","2014","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.7"
"Estimated Emigration (Persons in April)","2014","Male","Other nationalities(17)","Thousand","5.6"
"Estimated Emigration (Persons in April)","2014","Male","All nationalities","Thousand","38.3"
"Estimated Emigration (Persons in April)","2014","Female","Irish","Thousand","21.6"
"Estimated Emigration (Persons in April)","2014","Female","UK (1)","Thousand","3.1"
"Estimated Emigration (Persons in April)","2014","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.4"
"Estimated Emigration (Persons in April)","2014","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.9"
"Estimated Emigration (Persons in April)","2014","Female","Other nationalities(17)","Thousand","4.6"
"Estimated Emigration (Persons in April)","2014","Female","All nationalities","Thousand","36.6"
"Estimated Emigration (Persons in April)","2015","Both sexes","Irish","Thousand","42.5"
"Estimated Emigration (Persons in April)","2015","Both sexes","UK (1)","Thousand","5.6"
"Estimated Emigration (Persons in April)","2015","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6"
"Estimated Emigration (Persons in April)","2015","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.1"
"Estimated Emigration (Persons in April)","2015","Both sexes","Other nationalities(17)","Thousand","8.8"
"Estimated Emigration (Persons in April)","2015","Both sexes","All nationalities","Thousand","70"
"Estimated Emigration (Persons in April)","2015","Male","Irish","Thousand","21.8"
"Estimated Emigration (Persons in April)","2015","Male","UK (1)","Thousand","2.6"
"Estimated Emigration (Persons in April)","2015","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.8"
"Estimated Emigration (Persons in April)","2015","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.5"
"Estimated Emigration (Persons in April)","2015","Male","Other nationalities(17)","Thousand","5.2"
"Estimated Emigration (Persons in April)","2015","Male","All nationalities","Thousand","35.8"
"Estimated Emigration (Persons in April)","2015","Female","Irish","Thousand","20.7"
"Estimated Emigration (Persons in April)","2015","Female","UK (1)","Thousand","2.9"
"Estimated Emigration (Persons in April)","2015","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.2"
"Estimated Emigration (Persons in April)","2015","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.6"
"Estimated Emigration (Persons in April)","2015","Female","Other nationalities(17)","Thousand","3.6"
"Estimated Emigration (Persons in April)","2015","Female","All nationalities","Thousand","34.1"
"Estimated Emigration (Persons in April)","2016","Both sexes","Irish","Thousand","37.1"
"Estimated Emigration (Persons in April)","2016","Both sexes","UK (1)","Thousand","5.2"
"Estimated Emigration (Persons in April)","2016","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.7"
"Estimated Emigration (Persons in April)","2016","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","6.8"
"Estimated Emigration (Persons in April)","2016","Both sexes","Other nationalities(17)","Thousand","11.4"
"Estimated Emigration (Persons in April)","2016","Both sexes","All nationalities","Thousand","66.2"
"Estimated Emigration (Persons in April)","2016","Male","Irish","Thousand","17.4"
"Estimated Emigration (Persons in April)","2016","Male","UK (1)","Thousand","2.2"
"Estimated Emigration (Persons in April)","2016","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.4"
"Estimated Emigration (Persons in April)","2016","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3"
"Estimated Emigration (Persons in April)","2016","Male","Other nationalities(17)","Thousand","6"
"Estimated Emigration (Persons in April)","2016","Male","All nationalities","Thousand","31"
"Estimated Emigration (Persons in April)","2016","Female","Irish","Thousand","19.7"
"Estimated Emigration (Persons in April)","2016","Female","UK (1)","Thousand","3"
"Estimated Emigration (Persons in April)","2016","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.3"
"Estimated Emigration (Persons in April)","2016","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.8"
"Estimated Emigration (Persons in April)","2016","Female","Other nationalities(17)","Thousand","5.4"
"Estimated Emigration (Persons in April)","2016","Female","All nationalities","Thousand","35.1"
"Estimated Emigration (Persons in April)","2017","Both sexes","Irish","Thousand","30.8"
"Estimated Emigration (Persons in April)","2017","Both sexes","UK (1)","Thousand","4"
"Estimated Emigration (Persons in April)","2017","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.7"
"Estimated Emigration (Persons in April)","2017","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","9.6"
"Estimated Emigration (Persons in April)","2017","Both sexes","Other nationalities(17)","Thousand","13.7"
"Estimated Emigration (Persons in April)","2017","Both sexes","All nationalities","Thousand","64.8"
"Estimated Emigration (Persons in April)","2017","Male","Irish","Thousand","16.3"
"Estimated Emigration (Persons in April)","2017","Male","UK (1)","Thousand","2.1"
"Estimated Emigration (Persons in April)","2017","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.5"
"Estimated Emigration (Persons in April)","2017","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.1"
"Estimated Emigration (Persons in April)","2017","Male","Other nationalities(17)","Thousand","7.3"
"Estimated Emigration (Persons in April)","2017","Male","All nationalities","Thousand","34.2"
"Estimated Emigration (Persons in April)","2017","Female","Irish","Thousand","14.6"
"Estimated Emigration (Persons in April)","2017","Female","UK (1)","Thousand","1.9"
"Estimated Emigration (Persons in April)","2017","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"Estimated Emigration (Persons in April)","2017","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.5"
"Estimated Emigration (Persons in April)","2017","Female","Other nationalities(17)","Thousand","6.5"
"Estimated Emigration (Persons in April)","2017","Female","All nationalities","Thousand","30.6"
"Estimated Emigration (Persons in April)","2018","Both sexes","Irish","Thousand","28.3"
"Estimated Emigration (Persons in April)","2018","Both sexes","UK (1)","Thousand","4.1"
"Estimated Emigration (Persons in April)","2018","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","6.8"
"Estimated Emigration (Persons in April)","2018","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","7.1"
"Estimated Emigration (Persons in April)","2018","Both sexes","Other nationalities(17)","Thousand","10"
"Estimated Emigration (Persons in April)","2018","Both sexes","All nationalities","Thousand","56.3"
"Estimated Emigration (Persons in April)","2018","Male","Irish","Thousand","13.7"
"Estimated Emigration (Persons in April)","2018","Male","UK (1)","Thousand","1.7"
"Estimated Emigration (Persons in April)","2018","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"Estimated Emigration (Persons in April)","2018","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.8"
"Estimated Emigration (Persons in April)","2018","Male","Other nationalities(17)","Thousand","4"
"Estimated Emigration (Persons in April)","2018","Male","All nationalities","Thousand","26.4"
"Estimated Emigration (Persons in April)","2018","Female","Irish","Thousand","14.6"
"Estimated Emigration (Persons in April)","2018","Female","UK (1)","Thousand","2.4"
"Estimated Emigration (Persons in April)","2018","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.7"
"Estimated Emigration (Persons in April)","2018","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.3"
"Estimated Emigration (Persons in April)","2018","Female","Other nationalities(17)","Thousand","6"
"Estimated Emigration (Persons in April)","2018","Female","All nationalities","Thousand","30"
"Estimated Emigration (Persons in April)","2019","Both sexes","Irish","Thousand","29"
"Estimated Emigration (Persons in April)","2019","Both sexes","UK (1)","Thousand","3.2"
"Estimated Emigration (Persons in April)","2019","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.5"
"Estimated Emigration (Persons in April)","2019","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","7"
"Estimated Emigration (Persons in April)","2019","Both sexes","Other nationalities(17)","Thousand","11.2"
"Estimated Emigration (Persons in April)","2019","Both sexes","All nationalities","Thousand","54.9"
"Estimated Emigration (Persons in April)","2019","Male","Irish","Thousand","15.2"
"Estimated Emigration (Persons in April)","2019","Male","UK (1)","Thousand","1.2"
"Estimated Emigration (Persons in April)","2019","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.1"
"Estimated Emigration (Persons in April)","2019","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.6"
"Estimated Emigration (Persons in April)","2019","Male","Other nationalities(17)","Thousand","6"
"Estimated Emigration (Persons in April)","2019","Male","All nationalities","Thousand","28.1"
"Estimated Emigration (Persons in April)","2019","Female","Irish","Thousand","13.8"
"Estimated Emigration (Persons in April)","2019","Female","UK (1)","Thousand","2"
"Estimated Emigration (Persons in April)","2019","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2.4"
"Estimated Emigration (Persons in April)","2019","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","3.4"
"Estimated Emigration (Persons in April)","2019","Female","Other nationalities(17)","Thousand","5.2"
"Estimated Emigration (Persons in April)","2019","Female","All nationalities","Thousand","26.8"
"Estimated Emigration (Persons in April)","2020","Both sexes","Irish","Thousand","28.3"
"Estimated Emigration (Persons in April)","2020","Both sexes","UK (1)","Thousand","2.5"
"Estimated Emigration (Persons in April)","2020","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","5.2"
"Estimated Emigration (Persons in April)","2020","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","9.2"
"Estimated Emigration (Persons in April)","2020","Both sexes","Other nationalities(17)","Thousand","11.4"
"Estimated Emigration (Persons in April)","2020","Both sexes","All nationalities","Thousand","56.5"
"Estimated Emigration (Persons in April)","2020","Male","Irish","Thousand","14.2"
"Estimated Emigration (Persons in April)","2020","Male","UK (1)","Thousand","1.9"
"Estimated Emigration (Persons in April)","2020","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","2"
"Estimated Emigration (Persons in April)","2020","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.5"
"Estimated Emigration (Persons in April)","2020","Male","Other nationalities(17)","Thousand","5.3"
"Estimated Emigration (Persons in April)","2020","Male","All nationalities","Thousand","27.9"
"Estimated Emigration (Persons in April)","2020","Female","Irish","Thousand","14.1"
"Estimated Emigration (Persons in April)","2020","Female","UK (1)","Thousand","0.6"
"Estimated Emigration (Persons in April)","2020","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3.1"
"Estimated Emigration (Persons in April)","2020","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.7"
"Estimated Emigration (Persons in April)","2020","Female","Other nationalities(17)","Thousand","6.1"
"Estimated Emigration (Persons in April)","2020","Female","All nationalities","Thousand","28.7"
"Estimated Emigration (Persons in April)","2021","Both sexes","Irish","Thousand","22.8"
"Estimated Emigration (Persons in April)","2021","Both sexes","UK (1)","Thousand","3"
"Estimated Emigration (Persons in April)","2021","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","7.6"
"Estimated Emigration (Persons in April)","2021","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","5.1"
"Estimated Emigration (Persons in April)","2021","Both sexes","Other nationalities(17)","Thousand","15.4"
"Estimated Emigration (Persons in April)","2021","Both sexes","All nationalities","Thousand","54"
"Estimated Emigration (Persons in April)","2021","Male","Irish","Thousand","10.7"
"Estimated Emigration (Persons in April)","2021","Male","UK (1)","Thousand","1.8"
"Estimated Emigration (Persons in April)","2021","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","3"
"Estimated Emigration (Persons in April)","2021","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","2.9"
"Estimated Emigration (Persons in April)","2021","Male","Other nationalities(17)","Thousand","8.4"
"Estimated Emigration (Persons in April)","2021","Male","All nationalities","Thousand","26.8"
"Estimated Emigration (Persons in April)","2021","Female","Irish","Thousand","12.2"
"Estimated Emigration (Persons in April)","2021","Female","UK (1)","Thousand","1.2"
"Estimated Emigration (Persons in April)","2021","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.7"
"Estimated Emigration (Persons in April)","2021","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","2.2"
"Estimated Emigration (Persons in April)","2021","Female","Other nationalities(17)","Thousand","7"
"Estimated Emigration (Persons in April)","2021","Female","All nationalities","Thousand","27.2"
"Estimated Emigration (Persons in April)","2022","Both sexes","Irish","Thousand","27.6"
"Estimated Emigration (Persons in April)","2022","Both sexes","UK (1)","Thousand","4.1"
"Estimated Emigration (Persons in April)","2022","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","4.8"
"Estimated Emigration (Persons in April)","2022","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","4.6"
"Estimated Emigration (Persons in April)","2022","Both sexes","Other nationalities(17)","Thousand","18.5"
