"STATISTIC Label","Year","Principal Economic Status","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","17.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Both sexes","Immigrants: All origins","Thousand","9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Male","Net migration","Thousand","-4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Male","Emigrants: All destinations","Thousand","8.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Male","Immigrants: All origins","Thousand","4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Female","Net migration","Thousand","-4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Female","Emigrants: All destinations","Thousand","9.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Student or pupil","Female","Immigrants: All origins","Thousand","4.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Both sexes","Net migration","Thousand","-1.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Both sexes","Emigrants: All destinations","Thousand","6.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Both sexes","Immigrants: All origins","Thousand","5.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Male","Net migration","Thousand","-0.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Male","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Male","Immigrants: All origins","Thousand","1.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Female","Net migration","Thousand","-1.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Female","Emigrants: All destinations","Thousand","4.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2011","Other economic status","Female","Immigrants: All origins","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Both sexes","Net migration","Thousand","-22.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Both sexes","Emigrants: All destinations","Thousand","73.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Both sexes","Immigrants: All origins","Thousand","50.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Male","Net migration","Thousand","-16.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Male","Emigrants: All destinations","Thousand","41.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Male","Immigrants: All origins","Thousand","24.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Female","Net migration","Thousand","-6.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Female","Emigrants: All destinations","Thousand","32.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All persons","Female","Immigrants: All origins","Thousand","25.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Both sexes","Net migration","Thousand","-10.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Both sexes","Emigrants: All destinations","Thousand","34.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Both sexes","Immigrants: All origins","Thousand","23.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Male","Net migration","Thousand","-6.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Male","Emigrants: All destinations","Thousand","18.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Male","Immigrants: All origins","Thousand","12.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Female","Net migration","Thousand","-4.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Female","Emigrants: All destinations","Thousand","15.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Persons at work","Female","Immigrants: All origins","Thousand","11.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Both sexes","Net migration","Thousand","-6.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","16.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","10.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Male","Net migration","Thousand","-5.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Male","Emigrants: All destinations","Thousand","12"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Male","Immigrants: All origins","Thousand","6.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Female","Net migration","Thousand","-0.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Female","Emigrants: All destinations","Thousand","4.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","All unemployed persons","Female","Immigrants: All origins","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Both sexes","Net migration","Thousand","-9.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","17.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Both sexes","Immigrants: All origins","Thousand","8.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Male","Net migration","Thousand","-5.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Male","Emigrants: All destinations","Thousand","9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Male","Immigrants: All origins","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Female","Net migration","Thousand","-4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Female","Emigrants: All destinations","Thousand","8.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Student or pupil","Female","Immigrants: All origins","Thousand","4.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Both sexes","Net migration","Thousand","3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Both sexes","Emigrants: All destinations","Thousand","5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Both sexes","Immigrants: All origins","Thousand","7.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Male","Net migration","Thousand","0.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Male","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Male","Immigrants: All origins","Thousand","2.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Female","Net migration","Thousand","2.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Female","Emigrants: All destinations","Thousand","3.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2012","Other economic status","Female","Immigrants: All origins","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Both sexes","Net migration","Thousand","-15.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Both sexes","Emigrants: All destinations","Thousand","70.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Both sexes","Immigrants: All origins","Thousand","55.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Male","Net migration","Thousand","-6.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Male","Emigrants: All destinations","Thousand","35.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Male","Immigrants: All origins","Thousand","28.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Female","Net migration","Thousand","-8.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Female","Emigrants: All destinations","Thousand","34.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All persons","Female","Immigrants: All origins","Thousand","26.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Both sexes","Net migration","Thousand","-5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Both sexes","Emigrants: All destinations","Thousand","31.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Both sexes","Immigrants: All origins","Thousand","26.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Male","Net migration","Thousand","-0.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Male","Emigrants: All destinations","Thousand","16.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Male","Immigrants: All origins","Thousand","15.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Female","Net migration","Thousand","-4.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Female","Emigrants: All destinations","Thousand","15.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Persons at work","Female","Immigrants: All origins","Thousand","11.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Both sexes","Net migration","Thousand","-6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","14.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","8.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Male","Net migration","Thousand","-4.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Male","Emigrants: All destinations","Thousand","10.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Male","Immigrants: All origins","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Female","Net migration","Thousand","-1.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Female","Emigrants: All destinations","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","All unemployed persons","Female","Immigrants: All origins","Thousand","3.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Both sexes","Net migration","Thousand","-4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","17.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Both sexes","Immigrants: All origins","Thousand","13"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Male","Net migration","Thousand","-0.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Male","Emigrants: All destinations","Thousand","7.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Male","Immigrants: All origins","Thousand","7.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Female","Net migration","Thousand","-3.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Female","Emigrants: All destinations","Thousand","9.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Student or pupil","Female","Immigrants: All origins","Thousand","5.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Both sexes","Net migration","Thousand","0"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Both sexes","Emigrants: All destinations","Thousand","7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Both sexes","Immigrants: All origins","Thousand","7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Male","Net migration","Thousand","-1.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Male","Emigrants: All destinations","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Male","Immigrants: All origins","Thousand","0.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Female","Net migration","Thousand","1.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Female","Emigrants: All destinations","Thousand","5.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2013","Other economic status","Female","Immigrants: All origins","Thousand","6.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Both sexes","Net migration","Thousand","-4.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Both sexes","Emigrants: All destinations","Thousand","64.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Both sexes","Immigrants: All origins","Thousand","60"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Male","Net migration","Thousand","-5.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Male","Emigrants: All destinations","Thousand","33.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Male","Immigrants: All origins","Thousand","28.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Female","Net migration","Thousand","0.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Female","Emigrants: All destinations","Thousand","30.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","All persons","Female","Immigrants: All origins","Thousand","31.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Both sexes","Net migration","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2014","Persons at work","Both sexes","Emigrants: All destinations","Thousand","24.7"
