"STATISTIC Label","Year","Sex","Education Level","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","All persons","Net migration","Thousand","-28.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","All persons","Emigrants: All destinations","Thousand","75.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Both sexes","All persons","Immigrants: All origins","Thousand","47.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Higher secondary and below","Net migration","Thousand","-6.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Higher secondary and below","Emigrants: All destinations","Thousand","15.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Higher secondary and below","Immigrants: All origins","Thousand","8.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Post leaving cert","Net migration","Thousand","-1.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Post leaving cert","Emigrants: All destinations","Thousand","4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Post leaving cert","Immigrants: All origins","Thousand","2.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Third level","Net migration","Thousand","-7.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Third level","Emigrants: All destinations","Thousand","17.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Third level","Immigrants: All origins","Thousand","10"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Not stated","Net migration","Thousand","-1.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Not stated","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","Not stated","Immigrants: All origins","Thousand","1.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","All persons","Net migration","Thousand","-16.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","All persons","Emigrants: All destinations","Thousand","39.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Male","All persons","Immigrants: All origins","Thousand","22.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Higher secondary and below","Net migration","Thousand","-6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Higher secondary and below","Emigrants: All destinations","Thousand","14.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Higher secondary and below","Immigrants: All origins","Thousand","8.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Post leaving cert","Net migration","Thousand","0.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Post leaving cert","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Post leaving cert","Immigrants: All origins","Thousand","2.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Third level","Net migration","Thousand","-6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Third level","Emigrants: All destinations","Thousand","18.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Third level","Immigrants: All origins","Thousand","12.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Not stated","Net migration","Thousand","-0.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Not stated","Emigrants: All destinations","Thousand","1.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","Not stated","Immigrants: All origins","Thousand","1.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","All persons","Net migration","Thousand","-11.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","All persons","Emigrants: All destinations","Thousand","36"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2011","Female","All persons","Immigrants: All origins","Thousand","24.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Higher secondary and below","Net migration","Thousand","-12.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","28.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","16.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Post leaving cert","Net migration","Thousand","-2.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Third level","Net migration","Thousand","-6.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Third level","Emigrants: All destinations","Thousand","34.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Third level","Immigrants: All origins","Thousand","28.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Not stated","Net migration","Thousand","-1.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Not stated","Emigrants: All destinations","Thousand","4.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","Not stated","Immigrants: All origins","Thousand","2.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","All persons","Net migration","Thousand","-22.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","All persons","Emigrants: All destinations","Thousand","73.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Both sexes","All persons","Immigrants: All origins","Thousand","50.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Higher secondary and below","Net migration","Thousand","-6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Higher secondary and below","Emigrants: All destinations","Thousand","15.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Higher secondary and below","Immigrants: All origins","Thousand","9.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Post leaving cert","Net migration","Thousand","-2.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Post leaving cert","Emigrants: All destinations","Thousand","5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Post leaving cert","Immigrants: All origins","Thousand","2.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Third level","Net migration","Thousand","-6.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Third level","Emigrants: All destinations","Thousand","18.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Third level","Immigrants: All origins","Thousand","11.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Not stated","Net migration","Thousand","-1.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Not stated","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","Not stated","Immigrants: All origins","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","All persons","Net migration","Thousand","-16.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","All persons","Emigrants: All destinations","Thousand","41.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Male","All persons","Immigrants: All origins","Thousand","24.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Higher secondary and below","Net migration","Thousand","-6.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Higher secondary and below","Emigrants: All destinations","Thousand","12.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Higher secondary and below","Immigrants: All origins","Thousand","6.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Post leaving cert","Net migration","Thousand","0.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Post leaving cert","Emigrants: All destinations","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Post leaving cert","Immigrants: All origins","Thousand","1.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Third level","Net migration","Thousand","-0.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Third level","Emigrants: All destinations","Thousand","16.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Third level","Immigrants: All origins","Thousand","16.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Not stated","Net migration","Thousand","-0.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Not stated","Emigrants: All destinations","Thousand","2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","Not stated","Immigrants: All origins","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","All persons","Net migration","Thousand","-6.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","All persons","Emigrants: All destinations","Thousand","32.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2012","Female","All persons","Immigrants: All origins","Thousand","25.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Higher secondary and below","Net migration","Thousand","-14.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","32.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","17.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Post leaving cert","Net migration","Thousand","-3.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","5.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","2.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Third level","Net migration","Thousand","2.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Third level","Emigrants: All destinations","Thousand","29.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Third level","Immigrants: All origins","Thousand","32"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Not stated","Net migration","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Not stated","Emigrants: All destinations","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","Not stated","Immigrants: All origins","Thousand","3.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","All persons","Net migration","Thousand","-15.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","All persons","Emigrants: All destinations","Thousand","70.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Both sexes","All persons","Immigrants: All origins","Thousand","55.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Higher secondary and below","Net migration","Thousand","-6.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Higher secondary and below","Emigrants: All destinations","Thousand","16"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Higher secondary and below","Immigrants: All origins","Thousand","9.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Post leaving cert","Net migration","Thousand","-2.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Post leaving cert","Emigrants: All destinations","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Post leaving cert","Immigrants: All origins","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Third level","Net migration","Thousand","2.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Third level","Emigrants: All destinations","Thousand","14.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Third level","Immigrants: All origins","Thousand","17.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Not stated","Net migration","Thousand","-0.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Not stated","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","Not stated","Immigrants: All origins","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","All persons","Net migration","Thousand","-7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","All persons","Emigrants: All destinations","Thousand","35.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Male","All persons","Immigrants: All origins","Thousand","28.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Higher secondary and below","Net migration","Thousand","-8.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Higher secondary and below","Emigrants: All destinations","Thousand","16.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Higher secondary and below","Immigrants: All origins","Thousand","7.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Post leaving cert","Net migration","Thousand","-0.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Post leaving cert","Emigrants: All destinations","Thousand","2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Post leaving cert","Immigrants: All origins","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Third level","Net migration","Thousand","-0.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Third level","Emigrants: All destinations","Thousand","15.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Third level","Immigrants: All origins","Thousand","14.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Not stated","Net migration","Thousand","1.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Not stated","Emigrants: All destinations","Thousand","0.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","Not stated","Immigrants: All origins","Thousand","2.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","All persons","Net migration","Thousand","-8.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","All persons","Emigrants: All destinations","Thousand","34.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2013","Female","All persons","Immigrants: All origins","Thousand","26.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2014","Both sexes","Higher secondary and below","Net migration","Thousand","-8.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2014","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","23.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2014","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","15.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2014","Both sexes","Post leaving cert","Net migration","Thousand","-1.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2014","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2014","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2014","Both sexes","Third level","Net migration","Thousand","4.9"
